Category,Subcategory,Fast_Food,Pub_Bar,Gambling,Tobacco,Leisure
Restaurants,Restaurant - Mongolian,,,,,
Restaurants,Restaurant - Moroccan,,,,,
Restaurants,Restaurant - Nepalese,,,,,
Restaurants,Restaurant - Oceanic,,,,,
Restaurants,Restaurant - Oriental,,,,,
Restaurants,Restaurant - Other,,,,,
Restaurants,Restaurant - Pakistani,,,,,
Restaurants,Restaurant - Philippine,,,,,
Restaurants,Restaurant - Pizzeria,,,,,
Restaurants,Restaurant - Polish,,,,,
Restaurants,Restaurant - Portuguese,,,,,
Restaurants,Restaurant - Russian,,,,,
Restaurants,Restaurant - Scandinavian,,,,,
Restaurants,Restaurant - Scottish,,,,,
Restaurants,Restaurant - Seafood,,,,,
Restaurants,Restaurant - South American,,,,,
Restaurants,Restaurant - Spanish,,,,,
Restaurants,Restaurant - Sudanese,,,,,
Restaurants,Restaurant - Swiss,,,,,
Restaurants,Restaurant - Thai,,,,,
Restaurants,Restaurant - Tibetan,,,,,
Restaurants,Restaurant - Turkish,,,,,
Restaurants,Restaurant - Vegan,,,,,
Restaurants,Restaurant - Vegetarian,,,,,
Restaurants,Restaurant - Vietnamese,,,,,
Restaurants,Restaurant - Welsh,,,,,
"Pubs, Bars & Clubs",Restaurant & Bar,,,,,
Restaurants,Restaurant & Bar,,,,,
Restaurants,Restaurant Cruises,,,,,
Health & Beauty,Riding Stables,,,,,
Clothes & Fashion,Riding Wear,,,,,
Shops & Amenities,Royal Mail Delivery Offices,,,,,
Shops & Amenities,Safe Deposit Boxes,,,,,
Food & Drink,Sandwich Delivery Service,1,,,,
Home & Garden,Satellite Television - Equipment & Services,,,,,
Shops & Amenities,Scrap Metal Dealers & Breakers Yards,,,,,
Shops & Amenities,Secondhand Shops,,,,,
Home & Garden,Security Equipment,,,,,
Hotels,Serviced Apartments,,,,,
Shops & Amenities,Sewing Machines,,,,,
Clothes & Fashion,Shirt Makers,,,,,
Shops & Amenities,Shoe Repairs,,,,,
Clothes & Fashion,Shoe Shops,,,,,
Shops & Amenities,Shop Fitters,,,,,
Shops & Amenities,Shopping Arcades,,,,,
Shops & Amenities,Sign Shops,,,,,
Shops & Amenities,Skiing Equipment,,,,,
Events & Attractions,"Snooker, Billiards & Pool Halls",,,,,
"Pubs, Bars & Clubs",Social Clubs,,,,,
Home & Garden,Soft Furnishings,,,,,
Shops & Amenities,Solicitors,,,,,
Shops & Amenities,Souvenir Shops,,,,,
Events & Attractions,Special Screening Venues,,,,,
Non Retail,Split Properties,,,,,
Health & Beauty,Sports Clubs,,,,,
Shops & Amenities,Sports Goods Shops,,,,,
Events & Attractions,Sports Grounds & Stadiums,,,,,
Shops & Amenities,Stationers,,,,,
Events & Attractions,Statues & Monuments,,,,,
Shops & Amenities,Stonemason,,,,,
Home & Garden,Storage & Removals,,,,,
Shops & Amenities,Street Markets,,,,,
Shops & Amenities,Student Unions,,,,,
Food & Drink,Supermarkets,,,,,
Shops & Amenities,Surplus Stores,,,,,
Home & Garden,Swimming Pool Dealers & Installers,,,,,
Clothes & Fashion,Tailors,,,,,
Food & Drink,Take Away Food Shops,1,,,,
Health & Beauty,Tanning Shops,,,,,
Health & Beauty,Tattooing & Piercing,,,,,
Shops & Amenities,Taxidermists,,,,,
Taxis & Transport,Taxis & Private Hire,,,,,
Food & Drink,Tea & Coffee Merchants,,,,,
Health & Beauty,Tennis Clubs,,,,,
Shops & Amenities,Textiles,,,,,
Events & Attractions,Theatres & Concert Halls,,,,,
Clothes & Fashion,Theatrical Costumes & Fancy Dress,,,,,
Events & Attractions,Ticket Outlets & Box Offices,,,,,
Home & Garden,Tile Stockists,,,,,
Events & Attractions,Tour Operators,,,,,
Events & Attractions,Tourist Attractions,,,,,
Events & Attractions,Tourist Information,,,,,
Shops & Amenities,Toy Shops,,,,,
Taxis & Transport,Train Stations,,,,,
Shops & Amenities,Training Centres,,,,,
Shops & Amenities,Translation Agencies,,,,,
Shops & Amenities,Travel Agents,,,,,
Shops & Amenities,Travel Booking Office,,,,,
Clothes & Fashion,T-Shirts,,,,,
Shops & Amenities,Tyre Dealers,,,,,
Taxis & Transport,Underground Stations,,,,,
Clothes & Fashion,Uniforms & Staffwear,,,,,
Shops & Amenities,Universities & Colleges,,,,,
Home & Garden,Upholsterers,,,,,
Non Retail,Vacant Properties,,,,,
Shops & Amenities,Vaping Stores and Tobacconists,,,,1,
Non Retail,Veterinary Surgeons & Practitioners,,,,,
Shops & Amenities,Video Library,,,,,
Home & Garden,Wallpapers & Wall Coverings,,,,,
Non Retail,Warehouse,,,,,
Shops & Amenities,"Watch, Clock & Jewellers Repairs",,,,,
Shops & Amenities,Watches,,,,,
Shops & Amenities,Wedding Companies,,,,,
Non Retail,Wholesalers,,,,,
Food & Drink,Wine Making & Brewer Supplies,,,,,
Food & Drink,"Wines, Spirits & Beers",,,,,
Non Retail,Works,,,,,
Shops & Amenities,XXX - Adult Services,,,,,
Shops & Amenities,XXX - Adult Shops,,,,,
"Pubs, Bars & Clubs",XXX - Adult Venues,,,,,
Shops & Amenities,Yacht & Sailing Clubs,,,,,
Non Retail,,,,,,
